time,place,mag,depth,lon,lat,type,alert,tsunami,status,id,hour,month,day_of_week,tsl,hazard_label,target,zone,norm_mag,norm_depth,risk_score
2022-02-28 16:33:00.421,southern Mid-Atlantic Ridge,4.5,10.0,-16.3253,-40.0003,earthquake,,0,reviewed,",us6000h23a,",16,2,0,0.9141675,MEDIUM,1,0,0.45,0.9857142857142858,6.207142857142856
2019-08-29 15:11:19.801,southern Mid-Atlantic Ridge,4.9,10.0,-11.8098,-20.118,earthquake,,0,reviewed,",us70005by6,",15,8,3,0.05587638888888889,MEDIUM,1,0,0.49000000000000005,0.9857142857142858,6.407142857142857
2023-12-10 11:52:50.012,"53 km SSW of Paracas, Peru",5.7,14.0,-76.4362,-14.3228,earthquake,green,0,reviewed,",us7000lhwv,usauto7000lhwv,at00s5g90a,",11,12,6,0.20436138888888888,MEDIUM,1,0,0.5700000000000001,0.98,6.789999999999999
2024-04-23 00:03:49.405,"31 km S of Hualien City, Taiwan",4.5,19.858,121.6313,23.6965,earthquake,,0,reviewed,",us6000mt3e,",0,4,1,0.710098888888889,MEDIUM,1,0,0.45,0.9716314285714286,6.164894285714285
2023-05-01 02:34:41.384,"80 km ESE of Katsuren-haebaru, Japan",4.6,10.0,128.5766,25.976,earthquake,,0,reviewed,",us6000k9rs,",2,5,0,0.06937472222222223,MEDIUM,1,0,0.45999999999999996,0.9857142857142858,6.257142857142856
2016-09-29 23:21:01.710,"151 km ESE of ?hara, Japan",5.1,10.0,141.792,34.523,earthquake,,0,reviewed,",us10006tze,",23,9,3,1.5312861111111111,MEDIUM,1,0,0.51,0.9857142857142858,6.507142857142857
2018-12-10 01:26:13.530,"79 km SE of Tondano, Indonesia",4.8,75.7,125.3622,0.7415,earthquake,,0,reviewed,",us1000i5h3,",1,12,0,2.3213500000000002,MEDIUM,1,0,0.48,0.8918571428571429,6.075571428571428
2022-09-14 02:58:15.153,"30 km NE of Coyuquilla Norte, Mexico",4.9,27.766,-100.8758,17.5421,earthquake,,0,reviewed,",us7000i7u6,",2,9,2,1.3734780555555555,MEDIUM,1,0,0.49000000000000005,0.9603342857142857,6.331002857142857
2019-05-22 19:41:05.600,South Sandwich Islands region,4.9,10.0,-23.355,-57.8819,earthquake,,0,reviewed,",us70003t9c,",19,5,2,1.516516111111111,MEDIUM,1,0,0.49000000000000005,0.9857142857142858,6.407142857142857
2018-04-14 18:13:59.870,Banda Sea,4.5,177.09,129.723,-6.6011,earthquake,,0,reviewed,",us1000dnmv,",18,4,5,0.18583055555555555,MEDIUM,1,0,0.45,0.7470142857142856,5.491042857142857
2020-02-25 00:49:41.426,"82 km SW of Calama, Chile",4.6,75.93,-69.4021,-23.0505,earthquake,,0,reviewed,",us70007w7n,",0,2,1,0.6026622222222222,MEDIUM,1,0,0.45999999999999996,0.8915285714285714,5.974585714285714
2017-07-06 16:46:38.730,"19 km W of Iwaki, Japan",4.5,2.58,140.6646,37.057,earthquake,,0,reviewed,",us10009965,",16,7,3,3.007397222222222,MEDIUM,1,0,0.45,0.9963142857142857,6.238942857142858
2020-02-13 06:50:44.793,"46 km NW of Isangel, Vanuatu",5.1,110.07,169.0155,-19.202,earthquake,,0,reviewed,",us70007p7m,",6,2,3,1.0018397222222222,MEDIUM,1,0,0.51,0.8427571428571429,6.078271428571428
